Bank Name,City,State,CERT #,Acquiring Institution,Closing Date,Updated Date
"San Luis Trust Bank, FSB ",San Luis Obispo,CA,34783,First California Bank,18-Feb-11,18-Feb-11
Charter Oak Bank,Napa,CA,57855,Bank of Marin,18-Feb-11,18-Feb-11
Citizens Bank of Effingham,Springfield,GA,34601,Heritage Bank of the South,18-Feb-11,18-Feb-11
Habersham Bank,Clarkesville,GA,151,SCBT National Association,18-Feb-11,18-Feb-11
Canyon National Bank,Palm Springs,CA,34692,Pacific Premier Bank,11-Feb-11,18-Feb-11
Badger State Bank,Cassville,WI,13272,Royal Bank,11-Feb-11,18-Feb-11
Peoples State Bank,Hamtramck,MI,14939,First Michigan Bank,11-Feb-11,18-Feb-11
Sunshine State Community Bank,Port Orange,FL,35478,"Premier American Bank, N.A.",11-Feb-11,18-Feb-11
Community First Bank Chicago,Chicago,IL,57948,Northbrook Bank & Trust,4-Feb-11,10-Feb-11
North Georgia Bank,Watkinsville,GA,35242,BankSouth,4-Feb-11,11-Feb-11
American Trust Bank,Roswell,GA,57432,Renasant Bank,4-Feb-11,11-Feb-11
First Community Bank,Taos,NM,12261,"U.S. Bank, National Association",28-Jan-11,10-Feb-11
FirsTier Bank,Louisville,CO,57646,No Acquirer,28-Jan-11,2-Feb-11
Evergreen State Bank,Stoughton,WI,5328,McFarland State Bank,28-Jan-11,10-Feb-11
The First State Bank,Camargo,OK,2303,Bank 7,28-Jan-11,10-Feb-11
United Western Bank,Denver,CO,31293,First-Citizens Bank & Trust Co.,21-Jan-11,10-Feb-11
The Bank of Asheville,Asheville,NC,34516,First Bank,21-Jan-11,10-Feb-11
CommunitySouth Bank & Trust,Easley,SC,57868,"CertusBank, National Association",21-Jan-11,10-Feb-11
Enterprise Banking Company,McDonough,GA,19758,No Acquirer,21-Jan-11,27-Jan-11
Oglethorpe Bank,Brunswick,GA,57440,Bank of the Ozarks,14-Jan-11,20-Jan-11
Legacy Bank,Scottsdale,AZ,57820,Enterprise Bank & Trust,7-Jan-11,11-Feb-11
First Commercial Bank of Florida,Orlando,FL,34965,First Southern Bank,7-Jan-11,11-Jan-11
